Component_ID,Lot_ID,Wafer_ID,Iddq_0h,Iddq_24h,Ileak_0h,Ileak_24h,PropDelay_0h,PropDelay_24h
CMP-1000-0045,ISRO-TEST-UPLOAD-1000,21,10.829,11.236,2.457,2.482,1.1901,1.1914
CMP-1000-0046,ISRO-TEST-UPLOAD-1000,9,11.325,11.55,2.743,2.787,1.1221,1.1241
CMP-1000-0047,ISRO-TEST-UPLOAD-1000,7,11.741,11.74,2.361,2.379,1.1357,1.1335
CMP-1000-0048,ISRO-TEST-UPLOAD-1000,18,12.055,12.411,2.086,2.143,0.9792,0.9742
CMP-1000-0049,ISRO-TEST-UPLOAD-1000,4,11.692,12.093,2.262,2.264,1.1559,1.1632
CMP-1000-0050,ISRO-TEST-UPLOAD-1000,25,10.586,10.809,2.583,2.625,1.1581,1.1553
CMP-1000-0051,ISRO-TEST-UPLOAD-1000,14,8.914,9.41,2.548,2.548,1.1521,1.1561
CMP-1000-0052,ISRO-TEST-UPLOAD-1000,18,10.362,10.686,2.589,2.613,1.1261,1.1266
CMP-1000-0053,ISRO-TEST-UPLOAD-1000,9,10.827,10.9,2.566,2.588,1.2547,1.2532
CMP-1000-0054,ISRO-TEST-UPLOAD-1000,21,12.488,12.705,2.387,2.446,1.1698,1.172
CMP-1000-0055,ISRO-TEST-UPLOAD-1000,2,55.968,58.515,26.776,29.776,2.9974,3.1974
CMP-1000-0056,ISRO-TEST-UPLOAD-1000,20,10.712,10.936,2.724,2.825,1.1291,1.1224
CMP-1000-0057,ISRO-TEST-UPLOAD-1000,15,12.282,12.625,2.132,2.167,1.2629,1.2639
CMP-1000-0058,ISRO-TEST-UPLOAD-1000,7,9.377,9.862,2.395,2.462,1.1716,1.1685
CMP-1000-0059,ISRO-TEST-UPLOAD-1000,12,10.578,10.988,2.313,2.299,1.0761,1.0747
CMP-1000-0060,ISRO-TEST-UPLOAD-1000,8,7.505,7.777,2.789,2.779,1.3891,1.3876
CMP-1000-0061,ISRO-TEST-UPLOAD-1000,15,12.214,12.31,2.559,2.59,1.2794,1.2837
CMP-1000-0062,ISRO-TEST-UPLOAD-1000,3,11.069,11.438,2.141,2.138,1.2823,1.2847
CMP-1000-0063,ISRO-TEST-UPLOAD-1000,14,10.825,11.299,1.998,2.04,1.1283,1.1282
CMP-1000-0064,ISRO-TEST-UPLOAD-1000,17,11.688,12.097,2.885,2.965,1.2093,1.2099
CMP-1000-0065,ISRO-TEST-UPLOAD-1000,4,9.831,10.104,2.278,2.272,1.1866,1.1862
CMP-1000-0066,ISRO-TEST-UPLOAD-1000,18,10.818,11.102,2.673,2.72,1.0087,1.0123
CMP-1000-0067,ISRO-TEST-UPLOAD-1000,8,10.522,10.554,2.954,2.983,1.3629,1.3562
CMP-1000-0068,ISRO-TEST-UPLOAD-1000,4,9.959,15.284,2.514,2.914,1.1959,1.2759
CMP-1000-0069,ISRO-TEST-UPLOAD-1000,2,10.272,10.689,2.561,2.574,1.1378,1.1419
CMP-1000-0070,ISRO-TEST-UPLOAD-1000,6,8.846,9.036,2.166,2.189,1.2597,1.2566
CMP-1000-0071,ISRO-TEST-UPLOAD-1000,22,10.402,10.601,3.016,3.096,1.177,1.1751
CMP-1000-0072,ISRO-TEST-UPLOAD-1000,10,12.665,12.8,2.506,2.482,1.2523,1.2641
CMP-1000-0073,ISRO-TEST-UPLOAD-1000,4,10.942,11.379,2.661,2.706,1.2246,1.2191
CMP-1000-0074,ISRO-TEST-UPLOAD-1000,22,9.912,10.474,2.766,2.814,1.2631,1.2718
CMP-1000-0075,ISRO-TEST-UPLOAD-1000,18,10.867,15.92,2.554,2.954,1.2116,1.2916
CMP-1000-0076,ISRO-TEST-UPLOAD-1000,12,9.36,9.543,3.133,3.185,1.2628,1.2691
CMP-1000-0077,ISRO-TEST-UPLOAD-1000,2,9.727,9.996,2.022,2.064,1.1394,1.1438
CMP-1000-0078,ISRO-TEST-UPLOAD-1000,10,11.699,11.715,2.566,2.568,1.3031,1.3011
CMP-1000-0079,ISRO-TEST-UPLOAD-1000,4,11.093,11.292,2.303,2.384,1.0769,1.068
CMP-1000-0080,ISRO-TEST-UPLOAD-1000,14,9.542,9.863,2.562,2.591,1.2848,1.2866
CMP-1000-0081,ISRO-TEST-UPLOAD-1000,16,11.252,11.347,2.665,2.703,1.1712,1.1726
CMP-1000-0082,ISRO-TEST-UPLOAD-1000,15,10.41,10.65,2.201,2.275,1.1951,1.1985
CMP-1000-0083,ISRO-TEST-UPLOAD-1000,8,11.03,11.192,2.702,2.706,1.1868,1.1894
CMP-1000-0084,ISRO-TEST-UPLOAD-1000,14,10.002,10.336,2.588,2.613,1.1853,1.1938
CMP-1000-0085,ISRO-TEST-UPLOAD-1000,23,10.789,11.033,2.367,2.36,1.1731,1.1685
CMP-1000-0086,ISRO-TEST-UPLOAD-1000,25,12.054,12.366,2.787,2.843,1.3535,1.3472
CMP-1000-0087,ISRO-TEST-UPLOAD-1000,8,9.963,10.241,2.589,2.61,1.2453,1.2477
CMP-1000-0088,ISRO-TEST-UPLOAD-1000,21,12.534,12.777,2.941,2.947,1.226,1.2331
CMP-1000-0089,ISRO-TEST-UPLOAD-1000,16,11.258,11.502,2.59,2.647,1.3396,1.3375
CMP-1000-0090,ISRO-TEST-UPLOAD-1000,13,10.853,11.243,2.585,2.652,1.3255,1.315
CMP-1000-0091,ISRO-TEST-UPLOAD-1000,18,11.241,11.458,2.491,2.48,1.3823,1.3795
CMP-1000-0092,ISRO-TEST-UPLOAD-1000,15,10.4,10.722,2.281,2.347,1.2838,1.2897
CMP-1000-0093,ISRO-TEST-UPLOAD-1000,21,11.565,11.688,2.916,2.906,1.2053,1.2063
CMP-1000-0094,ISRO-TEST-UPLOAD-1000,24,9.616,9.984,1.948,1.956,1.3288,1.3327
CMP-1000-0095,ISRO-TEST-UPLOAD-1000,25,10.412,10.774,2.445,2.486,1.2139,1.2131
CMP-1000-0096,ISRO-TEST-UPLOAD-1000,13,12.174,12.335,2.703,2.776,1.1708,1.174
CMP-1000-0097,ISRO-TEST-UPLOAD-1000,9,8.022,8.291,3.227,3.243,1.2686,1.2671
CMP-1000-0098,ISRO-TEST-UPLOAD-1000,15,12.222,12.399,2.945,2.954,1.1615,1.1571
CMP-1000-0099,ISRO-TEST-UPLOAD-1000,13,8.671,8.82,2.54,2.569,1.0601,1.0688
CMP-1000-0100,ISRO-TEST-UPLOAD-1000,1,10.643,10.771,2.485,2.517,1.2359,1.241
CMP-1000-0101,ISRO-TEST-UPLOAD-1000,25,8.892,9.21,2.445,2.469,1.0428,1.0449
CMP-1000-0102,ISRO-TEST-UPLOAD-1000,7,40.511,41.974,11.032,11.832,1.7605,1.8105
CMP-1000-0103,ISRO-TEST-UPLOAD-1000,9,10.913,11.28,2.409,2.419,1.2464,1.2469
CMP-1000-0104,ISRO-TEST-UPLOAD-1000,24,10.768,10.908,2.373,2.437,1.1956,1.2
CMP-1000-0105,ISRO-TEST-UPLOAD-1000,1,11.411,11.711,2.152,2.206,1.2132,1.2138
CMP-1000-0106,ISRO-TEST-UPLOAD-1000,12,10.724,10.925,2.218,2.228,1.2035,1.2172
CMP-1000-0107,ISRO-TEST-UPLOAD-1000,8,12.459,12.511,2.647,2.654,1.2229,1.2281
CMP-1000-0108,ISRO-TEST-UPLOAD-1000,24,9.379,9.798,3.141,3.131,1.2685,1.2674
CMP-1000-0109,ISRO-TEST-UPLOAD-1000,11,11.321,11.496,2.52,2.553,1.2578,1.2651
CMP-1000-0110,ISRO-TEST-UPLOAD-1000,19,11.009,11.134,2.904,2.969,1.2211,1.2213
CMP-1000-0111,ISRO-TEST-UPLOAD-1000,17,9.302,9.672,2.388,2.418,1.3276,1.3256
CMP-1000-0112,ISRO-TEST-UPLOAD-1000,8,11.475,11.749,2.274,2.338,1.0899,1.0935
CMP-1000-0113,ISRO-TEST-UPLOAD-1000,3,12.249,18.472,2.356,2.756,1.2002,1.2802
CMP-1000-0114,ISRO-TEST-UPLOAD-1000,3,9.268,9.288,1.771,1.806,1.2783,1.2845
CMP-1000-0115,ISRO-TEST-UPLOAD-1000,1,9.935,10.265,2.734,2.784,1.0702,1.0788
CMP-1000-0116,ISRO-TEST-UPLOAD-1000,5,10.952,11.042,2.414,2.377,1.2247,1.2208
CMP-1000-0117,ISRO-TEST-UPLOAD-1000,10,7.463,7.748,2.375,2.347,1.2496,1.2481
CMP-1000-0118,ISRO-TEST-UPLOAD-1000,7,10.07,10.195,2.399,2.446,1.1281,1.1307
CMP-1000-0119,ISRO-TEST-UPLOAD-1000,9,9.518,9.779,3.016,3.048,1.1394,1.1445
CMP-1000-0120,ISRO-TEST-UPLOAD-1000,7,10.671,11.086,2.373,2.419,1.2874,1.2877
CMP-1000-0121,ISRO-TEST-UPLOAD-1000,9,10.835,11.145,2.673,2.695,1.2841,1.3011
CMP-1000-0122,ISRO-TEST-UPLOAD-1000,8,10.041,10.056,2.497,2.53,1.3406,1.3383
CMP-1000-0123,ISRO-TEST-UPLOAD-1000,12,10.56,10.734,2.607,2.662,1.2234,1.2321
CMP-1000-0124,ISRO-TEST-UPLOAD-1000,2,44.844,46.404,6.35,7.15,1.6755,1.7255
CMP-1000-0125,ISRO-TEST-UPLOAD-1000,1,9.605,9.945,2.531,2.531,1.1537,1.163
CMP-1000-0126,ISRO-TEST-UPLOAD-1000,16,9.029,9.438,2.353,2.422,1.1448,1.1545
CMP-1000-0127,ISRO-TEST-UPLOAD-1000,23,9.213,9.575,2.617,2.699,1.1017,1.094
CMP-1000-0128,ISRO-TEST-UPLOAD-1000,23,73.013,80.999,31.692,34.692,3.2484,3.4484
CMP-1000-0129,ISRO-TEST-UPLOAD-1000,24,12.188,12.468,2.114,2.135,1.2491,1.2493
CMP-1000-0130,ISRO-TEST-UPLOAD-1000,5,10.74,11.007,2.833,2.854,1.2298,1.2326
CMP-1000-0131,ISRO-TEST-UPLOAD-1000,3,12.844,13.074,2.147,2.174,1.1139,1.1177
CMP-1000-0132,ISRO-TEST-UPLOAD-1000,12,10.375,10.654,2.501,2.575,1.1897,1.1932
CMP-1000-0133,ISRO-TEST-UPLOAD-1000,8,10.054,10.171,2.787,2.855,1.3112,1.3123
CMP-1000-0134,ISRO-TEST-UPLOAD-1000,22,10.619,10.815,2.818,2.854,1.2162,1.2206
CMP-1000-0135,ISRO-TEST-UPLOAD-1000,3,10.252,10.378,2.34,2.431,1.251,1.256
CMP-1000-0136,ISRO-TEST-UPLOAD-1000,1,9.338,9.622,2.566,2.604,1.1665,1.1711
CMP-1000-0137,ISRO-TEST-UPLOAD-1000,3,10.636,11.093,2.5,2.56,1.119,1.1212
CMP-1000-0138,ISRO-TEST-UPLOAD-1000,5,9.348,9.577,1.919,1.941,1.3309,1.326
CMP-1000-0139,ISRO-TEST-UPLOAD-1000,15,11.117,11.165,2.506,2.565,1.2435,1.2388
CMP-1000-0140,ISRO-TEST-UPLOAD-1000,14,10.828,11.036,2.47,2.469,1.225,1.2163
CMP-1000-0141,ISRO-TEST-UPLOAD-1000,3,10.168,10.38,2.394,2.434,1.3685,1.3664
CMP-1000-0142,ISRO-TEST-UPLOAD-1000,1,45.131,46.735,9.412,10.212,1.5698,1.6198
CMP-1000-0143,ISRO-TEST-UPLOAD-1000,5,12.15,12.494,2.299,2.325,1.1679,1.1771
CMP-1000-0144,ISRO-TEST-UPLOAD-1000,23,10.532,10.637,2.409,2.392,1.2591,1.2639
CMP-1000-0145,ISRO-TEST-UPLOAD-1000,14,10.843,10.886,2.104,2.114,1.1514,1.1549
CMP-1000-0146,ISRO-TEST-UPLOAD-1000,7,12.021,12.288,2.524,2.613,1.3289,1.331
CMP-1000-0147,ISRO-TEST-UPLOAD-1000,9,9.21,9.215,2.96,3.015,1.1858,1.1879
CMP-1000-0148,ISRO-TEST-UPLOAD-1000,15,12.462,12.742,3.074,3.076,1.2691,1.2693
CMP-1000-0149,ISRO-TEST-UPLOAD-1000,15,10.028,10.277,2.13,2.18,1.1197,1.122
CMP-1000-0150,ISRO-TEST-UPLOAD-1000,10,11.747,18.12,2.332,2.732,1.0382,1.1182
CMP-1000-0151,ISRO-TEST-UPLOAD-1000,13,11.62,11.972,2.371,2.426,1.1344,1.1398
CMP-1000-0152,ISRO-TEST-UPLOAD-1000,19,9.564,9.753,2.755,2.772,1.1916,1.1985
CMP-1000-0153,ISRO-TEST-UPLOAD-1000,7,9.284,9.477,2.385,2.39,1.2763,1.2828
CMP-1000-0154,ISRO-TEST-UPLOAD-1000,17,11.302,11.659,2.191,2.266,1.1969,1.1938
CMP-1000-0155,ISRO-TEST-UPLOAD-1000,20,12.185,12.517,2.278,2.304,1.3329,1.3352
CMP-1000-0156,ISRO-TEST-UPLOAD-1000,4,11.866,12.259,2.391,2.436,1.2382,1.2367
CMP-1000-0157,ISRO-TEST-UPLOAD-1000,5,10.389,10.604,2.509,2.547,1.2158,1.2113
CMP-1000-0158,ISRO-TEST-UPLOAD-1000,23,37.918,39.127,8.335,9.135,1.6469,1.6969
CMP-1000-0159,ISRO-TEST-UPLOAD-1000,7,9.393,9.578,2.302,2.359,1.1886,1.1955
CMP-1000-0160,ISRO-TEST-UPLOAD-1000,13,12.355,12.609,2.521,2.535,1.2061,1.2057
CMP-1000-0161,ISRO-TEST-UPLOAD-1000,15,9.756,9.706,2.288,2.305,1.2373,1.2331
CMP-1000-0162,ISRO-TEST-UPLOAD-1000,11,9.285,9.354,2.205,2.267,1.1783,1.1778
CMP-1000-0163,ISRO-TEST-UPLOAD-1000,4,10.536,10.677,2.016,2.066,1.24,1.2473
CMP-1000-0164,ISRO-TEST-UPLOAD-1000,13,10.948,11.139,2.591,2.619,1.1143,1.1126
CMP-1000-0165,ISRO-TEST-UPLOAD-1000,7,11.288,11.574,2.498,2.56,1.1637,1.1623
CMP-1000-0166,ISRO-TEST-UPLOAD-1000,19,38.777,40.197,8.042,8.842,1.5476,1.5976
CMP-1000-0167,ISRO-TEST-UPLOAD-1000,22,11.401,11.565,2.384,2.393,1.0889,1.0897
CMP-1000-0168,ISRO-TEST-UPLOAD-1000,2,9.313,9.322,2.969,2.978,1.2329,1.2287
CMP-1000-0169,ISRO-TEST-UPLOAD-1000,10,11.443,11.754,2.22,2.307,1.1022,1.1004
CMP-1000-0170,ISRO-TEST-UPLOAD-1000,13,10.362,10.464,3.006,3.028,1.2273,1.2256
CMP-1000-0171,ISRO-TEST-UPLOAD-1000,25,10.047,10.367,2.759,2.855,1.2272,1.2349
CMP-1000-0172,ISRO-TEST-UPLOAD-1000,21,11.178,11.444,1.995,2.029,1.0348,1.039
CMP-1000-0173,ISRO-TEST-UPLOAD-1000,6,8.471,8.81,2.078,2.187,1.1971,1.202
CMP-1000-0174,ISRO-TEST-UPLOAD-1000,12,9.204,9.44,2.124,2.168,1.2613,1.2687
CMP-1000-0175,ISRO-TEST-UPLOAD-1000,12,11.952,12.471,2.707,2.778,1.2885,1.2935
CMP-1000-0176,ISRO-TEST-UPLOAD-1000,20,11.342,11.783,2.54,2.559,1.1894,1.1951
CMP-1000-0177,ISRO-TEST-UPLOAD-1000,11,10.137,10.409,2.331,2.355,1.1943,1.1989
CMP-1000-0178,ISRO-TEST-UPLOAD-1000,23,11.346,11.812,2.537,2.498,1.2739,1.2656
CMP-1000-0179,ISRO-TEST-UPLOAD-1000,25,10.967,11.127,2.844,2.914,1.1972,1.2025
CMP-1000-0180,ISRO-TEST-UPLOAD-1000,7,10.162,10.497,2.837,2.849,1.2584,1.2549
CMP-1000-0181,ISRO-TEST-UPLOAD-1000,1,9.221,9.495,2.806,2.834,1.2372,1.2353
CMP-1000-0182,ISRO-TEST-UPLOAD-1000,1,11.248,11.508,2.169,2.223,1.2109,1.2154
CMP-1000-0183,ISRO-TEST-UPLOAD-1000,25,14.131,19.383,2.745,3.145,1.0315,1.1115
CMP-1000-0184,ISRO-TEST-UPLOAD-1000,25,12.724,12.854,2.5,2.578,1.1422,1.1323
CMP-1000-0185,ISRO-TEST-UPLOAD-1000,20,38.756,40.544,6.557,7.357,1.5088,1.5588
CMP-1000-0186,ISRO-TEST-UPLOAD-1000,13,11.181,11.423,2.222,2.246,1.2087,1.2008
CMP-1000-0187,ISRO-TEST-UPLOAD-1000,9,10.153,10.579,2.413,2.387,1.2126,1.1973
CMP-1000-0188,ISRO-TEST-UPLOAD-1000,3,8.619,8.712,2.197,2.226,1.2477,1.2466
CMP-1000-0189,ISRO-TEST-UPLOAD-1000,7,10.747,10.71,2.058,2.103,1.2952,1.299
CMP-1000-0190,ISRO-TEST-UPLOAD-1000,6,10.329,10.626,1.98,2.006,1.1954,1.1968
CMP-1000-0191,ISRO-TEST-UPLOAD-1000,8,9.642,9.972,2.775,2.825,1.2126,1.2123
CMP-1000-0192,ISRO-TEST-UPLOAD-1000,9,10.195,10.394,2.496,2.451,1.2039,1.1966
CMP-1000-0193,ISRO-TEST-UPLOAD-1000,5,10.96,11.142,2.723,2.749,1.1261,1.1301
CMP-1000-0194,ISRO-TEST-UPLOAD-1000,1,9.532,9.839,2.935,2.93,1.2762,1.275
CMP-1000-0195,ISRO-TEST-UPLOAD-1000,19,42.591,44.563,7.248,8.048,1.5264,1.5764
CMP-1000-0196,ISRO-TEST-UPLOAD-1000,10,12.092,12.368,3.192,3.21,1.1857,1.1891
CMP-1000-0197,ISRO-TEST-UPLOAD-1000,12,12.885,13.155,2.811,2.901,1.3228,1.3175
CMP-1000-0198,ISRO-TEST-UPLOAD-1000,24,12.364,12.639,2.696,2.699,1.2106,1.209
CMP-1000-0199,ISRO-TEST-UPLOAD-1000,15,12.099,12.154,2.336,2.352,1.3218,1.3192
CMP-1000-0200,ISRO-TEST-UPLOAD-1000,22,11.452,11.615,2.419,2.494,1.1511,1.1458
CMP-1000-0201,ISRO-TEST-UPLOAD-1000,24,11.183,11.494,1.988,1.995,1.2655,1.2695
CMP-1000-0202,ISRO-TEST-UPLOAD-1000,9,8.229,8.325,2.981,3.037,1.3344,1.3279
CMP-1000-0203,ISRO-TEST-UPLOAD-1000,20,11.864,12.238,2.191,2.242,1.1273,1.1268
CMP-1000-0204,ISRO-TEST-UPLOAD-1000,17,13.908,18.794,1.956,2.356,1.1153,1.1953
CMP-1000-0205,ISRO-TEST-UPLOAD-1000,17,11.551,11.862,2.038,2.067,1.0885,1.0859
CMP-1000-0206,ISRO-TEST-UPLOAD-1000,20,10.504,10.718,2.81,2.86,1.0864,1.0898
CMP-1000-0207,ISRO-TEST-UPLOAD-1000,12,10.662,10.808,2.546,2.583,1.2088,1.2124
CMP-1000-0208,ISRO-TEST-UPLOAD-1000,7,10.183,10.32,2.158,2.188,1.2575,1.2636
CMP-1000-0209,ISRO-TEST-UPLOAD-1000,2,10.296,10.644,2.88,2.943,1.3189,1.3117
CMP-1000-0210,ISRO-TEST-UPLOAD-1000,3,10.026,10.3,2.455,2.465,1.2534,1.2494
CMP-1000-0211,ISRO-TEST-UPLOAD-1000,17,10.209,10.588,2.385,2.422,1.2417,1.2425
CMP-1000-0212,ISRO-TEST-UPLOAD-1000,5,10.108,10.342,2.318,2.325,1.007,1.0064
CMP-1000-0213,ISRO-TEST-UPLOAD-1000,17,11.726,11.826,2.758,2.878,1.1626,1.1681
CMP-1000-0214,ISRO-TEST-UPLOAD-1000,24,11.893,12.076,2.729,2.792,1.1205,1.1257
CMP-1000-0215,ISRO-TEST-UPLOAD-1000,17,9.282,9.671,2.472,2.518,1.1343,1.133
CMP-1000-0216,ISRO-TEST-UPLOAD-1000,17,11.956,12.236,1.99,2.043,1.2385,1.2415
CMP-1000-0217,ISRO-TEST-UPLOAD-1000,2,8.872,8.943,2.412,2.444,1.0969,1.1045
CMP-1000-0218,ISRO-TEST-UPLOAD-1000,2,9.027,9.263,2.773,2.768,1.2368,1.2342
CMP-1000-0219,ISRO-TEST-UPLOAD-1000,22,10.835,10.965,2.503,2.584,1.3007,1.301
CMP-1000-0220,ISRO-TEST-UPLOAD-1000,23,12.271,12.548,3.024,3.041,1.124,1.1256
CMP-1000-0221,ISRO-TEST-UPLOAD-1000,5,11.672,11.965,2.37,2.467,1.3867,1.3908
CMP-1000-0222,ISRO-TEST-UPLOAD-1000,1,44.66,46.694,7.48,8.28,1.6299,1.6799
CMP-1000-0223,ISRO-TEST-UPLOAD-1000,1,10.13,10.397,2.564,2.571,1.2577,1.2477
CMP-1000-0224,ISRO-TEST-UPLOAD-1000,19,9.503,9.743,2.386,2.399,1.1423,1.1367
CMP-1000-0225,ISRO-TEST-UPLOAD-1000,2,10.722,10.975,2.369,2.459,1.0851,1.0905
CMP-1000-0226,ISRO-TEST-UPLOAD-1000,21,10.03,10.401,2.821,2.836,1.0967,1.0882
CMP-1000-0227,ISRO-TEST-UPLOAD-1000,12,10.571,10.924,2.238,2.275,1.1125,1.1052
CMP-1000-0228,ISRO-TEST-UPLOAD-1000,6,41.718,42.78,6.641,7.441,1.387,1.437
CMP-1000-0229,ISRO-TEST-UPLOAD-1000,23,12.304,12.786,2.452,2.478,1.1506,1.1501
CMP-1000-0230,ISRO-TEST-UPLOAD-1000,4,9.867,10.202,2.523,2.577,1.1226,1.1103
CMP-1000-0231,ISRO-TEST-UPLOAD-1000,23,9.851,10.335,2.198,2.264,1.175,1.1732
CMP-1000-0232,ISRO-TEST-UPLOAD-1000,11,11.743,11.857,2.193,2.194,1.1538,1.1593
CMP-1000-0233,ISRO-TEST-UPLOAD-1000,24,9.182,9.48,2.704,2.711,1.2402,1.2419
CMP-1000-0234,ISRO-TEST-UPLOAD-1000,17,11.448,11.711,2.292,2.352,1.1978,1.1984
CMP-1000-0235,ISRO-TEST-UPLOAD-1000,6,9.571,9.965,2.625,2.586,1.147,1.1467
CMP-1000-0236,ISRO-TEST-UPLOAD-1000,24,10.319,10.726,2.73,2.768,1.2409,1.2372
CMP-1000-0237,ISRO-TEST-UPLOAD-1000,5,8.308,8.723,2.949,2.968,1.1896,1.1909
CMP-1000-0238,ISRO-TEST-UPLOAD-1000,20,14.032,20.54,1.929,2.329,1.1024,1.1824
CMP-1000-0239,ISRO-TEST-UPLOAD-1000,2,10.456,10.746,2.887,2.878,1.0968,1.0989
CMP-1000-0240,ISRO-TEST-UPLOAD-1000,6,11.246,11.332,2.225,2.22,1.1484,1.145
CMP-1000-0241,ISRO-TEST-UPLOAD-1000,22,11.346,11.775,2.568,2.599,1.3337,1.3358
CMP-1000-0242,ISRO-TEST-UPLOAD-1000,11,9.602,10.126,2.225,2.236,1.1089,1.1042
CMP-1000-0243,ISRO-TEST-UPLOAD-1000,16,10.953,11.247,2.496,2.543,1.2101,1.2115
