Component_ID,Lot_ID,Wafer_ID,Stress_Temp_C,Defect_Type,Ground_Truth_Failure,Iddq_0h,Iddq_24h,Iddq_96h,Iddq_168h,Ileak_0h,Ileak_24h,Ileak_96h,Ileak_168h,PropDelay_0h,PropDelay_24h,PropDelay_96h,PropDelay_168h
CMP-2026-0011,ISRO-TRAIN-LOT-2026,9,125.0,HEALTHY,0,11.674,11.877,12.382,12.734,2.18,2.266,2.294,2.196,1.3118,1.3157,1.3218,1.3414
CMP-2026-0012,ISRO-TRAIN-LOT-2026,22,125.0,HEALTHY,0,11.606,11.741,11.827,12.109,2.141,2.139,2.253,2.265,1.2356,1.2348,1.2542,1.2735
CMP-2026-0013,ISRO-TRAIN-LOT-2026,1,125.0,LATENT_PAT_OUTLIER,1,40.673,42.274,45.564,47.651,7.042,7.842,9.042,10.842,1.5268,1.5768,1.6568,1.7768
CMP-2026-0014,ISRO-TRAIN-LOT-2026,15,125.0,HEALTHY,0,12.648,12.767,13.206,13.433,2.152,2.161,2.223,2.22,1.2061,1.2085,1.2186,1.2383
CMP-2026-0015,ISRO-TRAIN-LOT-2026,6,125.0,HEALTHY,0,10.513,10.788,11.181,11.451,2.698,2.688,2.732,2.853,1.2234,1.2264,1.2369,1.2499
CMP-2026-0016,ISRO-TRAIN-LOT-2026,13,125.0,HEALTHY,0,7.19,7.24,7.685,7.73,2.646,2.685,2.736,2.792,1.2419,1.2505,1.2488,1.2881
CMP-2026-0017,ISRO-TRAIN-LOT-2026,9,125.0,HEALTHY,0,9.65,9.78,9.821,10.139,2.513,2.575,2.556,2.6,1.0533,1.0602,1.0581,1.0684
CMP-2026-0018,ISRO-TRAIN-LOT-2026,18,125.0,HEALTHY,0,13.383,13.591,14.053,13.744,2.342,2.396,2.397,2.409,1.1458,1.1435,1.1611,1.1815
CMP-2026-0019,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,13.476,13.685,14.136,13.997,2.499,2.552,2.663,2.615,1.3675,1.3781,1.3761,1.4009
CMP-2026-0020,ISRO-TRAIN-LOT-2026,16,125.0,HEALTHY,0,10.993,11.188,11.403,11.971,2.753,2.794,2.844,2.834,1.3289,1.3306,1.3303,1.3578
CMP-2026-0021,ISRO-TRAIN-LOT-2026,9,125.0,HEALTHY,0,7.609,7.969,8.299,8.278,2.801,2.815,2.908,2.835,1.0562,1.0562,1.0699,1.074
CMP-2026-0022,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,11.022,11.293,11.886,11.969,2.377,2.395,2.454,2.483,1.228,1.2393,1.2271,1.2547
CMP-2026-0023,ISRO-TRAIN-LOT-2026,20,125.0,LATENT_PAT_OUTLIER,1,41.263,43.369,45.516,49.542,8.073,8.873,10.073,11.873,1.2968,1.3468,1.4268,1.5468
CMP-2026-0024,ISRO-TRAIN-LOT-2026,3,125.0,HEALTHY,0,12.884,12.994,13.719,13.498,2.252,2.284,2.313,2.435,1.2034,1.2021,1.2118,1.2334
CMP-2026-0025,ISRO-TRAIN-LOT-2026,13,125.0,HEALTHY,0,10.654,10.988,10.938,11.277,2.418,2.456,2.47,2.559,1.2736,1.2775,1.2869,1.2957
CMP-2026-0026,ISRO-TRAIN-LOT-2026,9,125.0,HEALTHY,0,9.983,10.181,10.571,10.485,2.311,2.316,2.36,2.43,1.0843,1.0863,1.0946,1.1256
CMP-2026-0027,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,11.765,12.162,12.047,12.555,2.829,2.864,2.893,2.876,1.1157,1.1262,1.1236,1.1342
CMP-2026-0028,ISRO-TRAIN-LOT-2026,11,125.0,HEALTHY,0,10.806,11.142,11.562,11.794,1.939,1.957,1.957,2.036,1.154,1.1645,1.1596,1.1717
CMP-2026-0029,ISRO-TRAIN-LOT-2026,13,125.0,HEALTHY,0,11.654,11.603,12.047,12.535,2.568,2.607,2.641,2.685,1.0716,1.0696,1.0842,1.0988
CMP-2026-0030,ISRO-TRAIN-LOT-2026,12,125.0,HEALTHY,0,12.415,12.7,13.015,13.049,2.283,2.296,2.334,2.423,1.2224,1.2263,1.2344,1.261
CMP-2026-0031,ISRO-TRAIN-LOT-2026,24,125.0,HEALTHY,0,11.571,12.007,12.255,12.113,2.739,2.738,2.91,2.823,1.0644,1.0605,1.0825,1.1027
CMP-2026-0032,ISRO-TRAIN-LOT-2026,1,125.0,HEALTHY,0,10.658,10.833,11.18,11.106,2.611,2.623,2.674,2.71,1.1398,1.1344,1.144,1.1602
CMP-2026-0033,ISRO-TRAIN-LOT-2026,10,125.0,HEALTHY,0,7.715,7.906,8.471,8.359,2.22,2.213,2.321,2.334,1.043,1.0527,1.0547,1.0628
CMP-2026-0034,ISRO-TRAIN-LOT-2026,24,125.0,HEALTHY,0,10.659,10.814,10.968,10.796,1.712,1.724,1.848,1.873,1.2889,1.284,1.3109,1.3271
CMP-2026-0035,ISRO-TRAIN-LOT-2026,10,125.0,HEALTHY,0,9.938,10.055,10.396,10.529,3.075,3.074,3.191,3.198,1.1803,1.187,1.1931,1.2224
CMP-2026-0036,ISRO-TRAIN-LOT-2026,16,125.0,HEALTHY,0,13.349,13.332,13.564,13.862,1.918,1.921,1.912,2.041,1.2101,1.2075,1.2263,1.2359
CMP-2026-0037,ISRO-TRAIN-LOT-2026,9,125.0,HEALTHY,0,9.457,9.614,10.386,9.785,2.492,2.512,2.588,2.567,1.2313,1.2345,1.2514,1.279
CMP-2026-0038,ISRO-TRAIN-LOT-2026,5,125.0,LATENT_DRIFT,1,11.241,18.082,47.662,90.874,2.677,3.077,5.177,11.677,1.1054,1.1854,1.4354,1.9854
CMP-2026-0039,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,9.507,9.751,10.072,9.872,2.338,2.341,2.411,2.404,1.1587,1.1668,1.1655,1.1829
CMP-2026-0040,ISRO-TRAIN-LOT-2026,4,125.0,HEALTHY,0,10.034,10.207,10.451,10.178,2.719,2.753,2.776,2.82,1.2329,1.2299,1.2473,1.2621
CMP-2026-0041,ISRO-TRAIN-LOT-2026,8,125.0,HEALTHY,0,11.107,11.356,11.698,11.97,2.37,2.4,2.441,2.385,1.158,1.1519,1.1704,1.2001
CMP-2026-0042,ISRO-TRAIN-LOT-2026,11,125.0,GROSS_OUTLIER,1,61.344,67.401,84.79,104.639,23.039,26.039,31.039,39.039,3.0039,3.2039,3.6039,4.2039
CMP-2026-0043,ISRO-TRAIN-LOT-2026,21,125.0,HEALTHY,0,11.017,11.345,11.476,11.351,2.315,2.376,2.305,2.483,1.3409,1.3429,1.3716,1.3724
CMP-2026-0044,ISRO-TRAIN-LOT-2026,25,125.0,HEALTHY,0,9.14,9.261,9.514,9.381,2.47,2.497,2.505,2.515,1.0548,1.0636,1.0735,1.0847
CMP-2026-0045,ISRO-TRAIN-LOT-2026,8,125.0,HEALTHY,0,10.888,11.28,11.235,11.049,2.421,2.435,2.513,2.587,1.2418,1.2357,1.2597,1.2771
CMP-2026-0046,ISRO-TRAIN-LOT-2026,7,125.0,HEALTHY,0,9.304,9.576,9.888,10.295,2.287,2.305,2.356,2.368,1.2337,1.2329,1.2416,1.2466
CMP-2026-0047,ISRO-TRAIN-LOT-2026,15,125.0,HEALTHY,0,9.754,10.049,10.411,10.37,2.306,2.352,2.403,2.428,1.2231,1.2242,1.2412,1.2517
CMP-2026-0048,ISRO-TRAIN-LOT-2026,10,125.0,HEALTHY,0,10.388,10.513,10.934,10.674,2.266,2.352,2.369,2.419,1.1403,1.1342,1.1654,1.1482
CMP-2026-0049,ISRO-TRAIN-LOT-2026,21,125.0,HEALTHY,0,13.53,13.794,14.104,14.519,2.393,2.421,2.53,2.507,1.2286,1.2345,1.2369,1.255
CMP-2026-0050,ISRO-TRAIN-LOT-2026,19,125.0,HEALTHY,0,6.857,6.923,7.198,7.467,2.588,2.64,2.69,2.687,1.2072,1.2183,1.2206,1.2434
CMP-2026-0051,ISRO-TRAIN-LOT-2026,24,125.0,HEALTHY,0,11.811,12.089,12.418,12.453,2.439,2.469,2.515,2.569,1.198,1.2082,1.2054,1.2343
CMP-2026-0052,ISRO-TRAIN-LOT-2026,8,125.0,HEALTHY,0,11.266,11.301,11.563,11.595,2.885,2.926,2.948,3.044,1.0529,1.0443,1.0586,1.0955
CMP-2026-0053,ISRO-TRAIN-LOT-2026,8,125.0,HEALTHY,0,9.189,9.446,9.731,9.557,2.674,2.68,2.789,2.817,1.2474,1.2456,1.2668,1.2649
CMP-2026-0054,ISRO-TRAIN-LOT-2026,16,125.0,HEALTHY,0,13.07,13.101,13.674,13.24,2.501,2.577,2.572,2.608,1.2298,1.2234,1.2332,1.2831
CMP-2026-0055,ISRO-TRAIN-LOT-2026,13,125.0,HEALTHY,0,10.744,10.83,11.521,11.285,2.304,2.342,2.32,2.426,1.1995,1.2034,1.206,1.211
CMP-2026-0056,ISRO-TRAIN-LOT-2026,1,125.0,HEALTHY,0,11.026,11.453,11.753,11.625,2.636,2.672,2.717,2.695,1.1987,1.1981,1.2253,1.2235
CMP-2026-0057,ISRO-TRAIN-LOT-2026,21,125.0,HEALTHY,0,12.723,12.848,13.595,13.872,2.342,2.356,2.373,2.412,1.0666,1.0653,1.077,1.0908
CMP-2026-0058,ISRO-TRAIN-LOT-2026,11,125.0,LATENT_DRIFT,1,10.212,15.03,37.19,69.26,2.654,3.054,5.154,11.654,1.2659,1.3459,1.5959,2.1459
CMP-2026-0059,ISRO-TRAIN-LOT-2026,13,125.0,HEALTHY,0,10.629,10.877,11.42,11.391,2.801,2.864,2.897,2.893,1.0615,1.0593,1.0634,1.0877
CMP-2026-0060,ISRO-TRAIN-LOT-2026,18,125.0,HEALTHY,0,11.654,11.976,12.295,12.406,2.225,2.26,2.294,2.293,1.2685,1.2722,1.281,1.3078
CMP-2026-0061,ISRO-TRAIN-LOT-2026,25,125.0,HEALTHY,0,9.02,9.302,9.315,9.628,3.095,3.14,3.146,3.179,1.2176,1.2234,1.2418,1.2469
CMP-2026-0062,ISRO-TRAIN-LOT-2026,12,125.0,HEALTHY,0,10.722,11.084,11.453,11.535,2.363,2.368,2.443,2.469,1.0966,1.0871,1.1278,1.1179
CMP-2026-0063,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,10.573,10.95,11.261,11.342,2.143,2.175,2.232,2.227,1.0895,1.0913,1.0949,1.1114
CMP-2026-0064,ISRO-TRAIN-LOT-2026,16,125.0,HEALTHY,0,10.666,10.76,11.513,11.384,2.759,2.778,2.876,2.888,1.2657,1.2617,1.2688,1.2932
CMP-2026-0065,ISRO-TRAIN-LOT-2026,2,125.0,HEALTHY,0,9.036,9.315,9.844,10.453,2.031,2.044,2.092,2.128,1.1585,1.1632,1.1847,1.1887
CMP-2026-0066,ISRO-TRAIN-LOT-2026,25,125.0,HEALTHY,0,12.693,12.839,13.249,13.413,2.635,2.639,2.726,2.79,1.1766,1.179,1.1955,1.1921
CMP-2026-0067,ISRO-TRAIN-LOT-2026,5,125.0,HEALTHY,0,7.414,7.783,8.283,8.427,2.584,2.65,2.635,2.55,1.1177,1.1181,1.1309,1.1545
CMP-2026-0068,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,10.991,11.377,11.876,12.076,2.932,2.997,3.047,2.984,1.2398,1.2428,1.2488,1.2578
CMP-2026-0069,ISRO-TRAIN-LOT-2026,19,125.0,LATENT_DRIFT,1,9.849,17.871,53.723,105.418,2.75,3.15,5.25,11.75,1.1585,1.2385,1.4885,2.0385
CMP-2026-0070,ISRO-TRAIN-LOT-2026,4,125.0,HEALTHY,0,9.23,9.406,9.491,9.675,2.26,2.261,2.275,2.439,1.233,1.2358,1.2556,1.2497
CMP-2026-0071,ISRO-TRAIN-LOT-2026,11,125.0,HEALTHY,0,10.158,10.623,10.981,11.291,2.389,2.432,2.482,2.601,1.2406,1.2429,1.2616,1.2823
CMP-2026-0072,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,10.412,10.555,11.146,11.188,2.128,2.169,2.249,2.275,1.2117,1.2192,1.2199,1.2339
CMP-2026-0073,ISRO-TRAIN-LOT-2026,8,125.0,HEALTHY,0,11.298,11.532,12.188,12.211,2.218,2.251,2.269,2.358,1.2076,1.215,1.2168,1.2181
CMP-2026-0074,ISRO-TRAIN-LOT-2026,21,125.0,HEALTHY,0,11.307,11.632,11.983,12.12,2.066,2.076,2.174,2.142,1.1062,1.1101,1.1195,1.1403
CMP-2026-0075,ISRO-TRAIN-LOT-2026,9,125.0,HEALTHY,0,10.129,10.227,10.368,10.626,2.649,2.671,2.728,2.708,1.1145,1.1143,1.1254,1.1404
CMP-2026-0076,ISRO-TRAIN-LOT-2026,23,125.0,HEALTHY,0,10.932,11.164,11.689,11.589,2.029,2.069,2.173,2.148,1.1774,1.1744,1.1941,1.1865
CMP-2026-0077,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,11.796,12.028,12.417,12.489,2.554,2.63,2.661,2.745,1.2666,1.2731,1.2792,1.3049
CMP-2026-0078,ISRO-TRAIN-LOT-2026,24,125.0,HEALTHY,0,10.401,10.607,10.794,10.974,2.406,2.444,2.482,2.503,1.2479,1.2492,1.2611,1.259
CMP-2026-0079,ISRO-TRAIN-LOT-2026,15,125.0,HEALTHY,0,10.27,10.368,10.931,10.984,2.648,2.684,2.721,2.749,1.2292,1.2315,1.2366,1.2414
CMP-2026-0080,ISRO-TRAIN-LOT-2026,16,125.0,HEALTHY,0,9.72,10.132,10.451,10.741,2.888,2.947,2.972,2.932,1.1733,1.1713,1.1928,1.2195
CMP-2026-0081,ISRO-TRAIN-LOT-2026,23,125.0,LATENT_PAT_OUTLIER,1,45.352,47.456,49.236,51.462,6.061,6.861,8.061,9.861,1.4492,1.4992,1.5792,1.6992
CMP-2026-0082,ISRO-TRAIN-LOT-2026,6,125.0,LATENT_PAT_OUTLIER,1,40.366,41.662,43.664,46.352,8.602,9.402,10.602,12.402,1.6722,1.7222,1.8022,1.9222
CMP-2026-0083,ISRO-TRAIN-LOT-2026,23,125.0,HEALTHY,0,9.906,10.318,10.79,10.602,2.526,2.57,2.602,2.58,1.2062,1.2117,1.2154,1.2503
CMP-2026-0084,ISRO-TRAIN-LOT-2026,10,125.0,HEALTHY,0,9.108,9.26,9.421,9.537,2.554,2.576,2.656,2.671,1.3121,1.3106,1.3355,1.3283
CMP-2026-0085,ISRO-TRAIN-LOT-2026,14,125.0,HEALTHY,0,12.604,12.828,13.368,13.193,1.963,1.963,2.008,2.088,1.2262,1.2187,1.2376,1.2639
CMP-2026-0086,ISRO-TRAIN-LOT-2026,3,125.0,HEALTHY,0,11.107,11.27,11.678,11.958,2.115,2.162,2.124,2.209,1.1904,1.1927,1.2146,1.2191
CMP-2026-0087,ISRO-TRAIN-LOT-2026,19,125.0,HEALTHY,0,11.471,11.755,11.673,11.983,2.56,2.646,2.683,2.698,1.0135,1.0119,1.0259,1.0403
CMP-2026-0088,ISRO-TRAIN-LOT-2026,16,125.0,HEALTHY,0,11.542,11.748,12.398,12.53,2.816,2.859,2.86,2.944,1.1032,1.0965,1.1146,1.1487
CMP-2026-0089,ISRO-TRAIN-LOT-2026,12,125.0,HEALTHY,0,10.749,10.949,11.447,11.315,2.005,2.058,2.137,2.16,1.0659,1.072,1.0726,1.0977
CMP-2026-0090,ISRO-TRAIN-LOT-2026,11,125.0,HEALTHY,0,11.314,11.638,11.968,11.895,2.347,2.333,2.51,2.381,1.1509,1.1507,1.1605,1.1823
CMP-2026-0091,ISRO-TRAIN-LOT-2026,18,125.0,HEALTHY,0,11.66,11.832,11.766,11.356,2.527,2.533,2.576,2.677,1.1841,1.1799,1.2022,1.2067
CMP-2026-0092,ISRO-TRAIN-LOT-2026,4,125.0,HEALTHY,0,9.939,10.168,10.591,10.962,2.737,2.794,2.845,2.814,1.2443,1.2422,1.2558,1.2627
CMP-2026-0093,ISRO-TRAIN-LOT-2026,4,125.0,HEALTHY,0,9.367,9.69,10.103,10.188,2.223,2.241,2.354,2.318,1.1169,1.1143,1.1351,1.1318
CMP-2026-0094,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,8.659,8.972,9.641,9.61,3.258,3.252,3.341,3.396,1.2844,1.2938,1.3015,1.3157
CMP-2026-0095,ISRO-TRAIN-LOT-2026,21,125.0,LATENT_DRIFT,1,10.975,18.132,52.178,101.097,2.923,3.323,5.423,11.923,1.2148,1.2948,1.5448,2.0948
CMP-2026-0096,ISRO-TRAIN-LOT-2026,16,125.0,HEALTHY,0,9.987,10.207,10.352,10.627,2.331,2.362,2.431,2.442,1.0694,1.0757,1.0893,1.0914
CMP-2026-0097,ISRO-TRAIN-LOT-2026,15,125.0,HEALTHY,0,12.322,12.447,12.787,12.525,2.324,2.389,2.43,2.393,1.2218,1.2167,1.2421,1.2548
CMP-2026-0098,ISRO-TRAIN-LOT-2026,6,125.0,HEALTHY,0,10.37,10.733,10.967,10.786,2.349,2.388,2.456,2.369,1.2808,1.2797,1.3084,1.3157
CMP-2026-0099,ISRO-TRAIN-LOT-2026,6,125.0,HEALTHY,0,8.112,8.216,8.319,8.894,2.325,2.363,2.411,2.429,1.2741,1.279,1.2793,1.3088
CMP-2026-0100,ISRO-TRAIN-LOT-2026,25,125.0,HEALTHY,0,10.024,10.154,10.49,10.516,2.179,2.226,2.292,2.216,1.1539,1.1582,1.1666,1.1945
CMP-2026-0101,ISRO-TRAIN-LOT-2026,20,125.0,HEALTHY,0,13.372,13.712,14.118,14.37,2.822,2.83,2.881,2.912,1.2737,1.276,1.2843,1.287
CMP-2026-0102,ISRO-TRAIN-LOT-2026,7,125.0,HEALTHY,0,10.766,10.937,11.569,11.454,2.717,2.782,2.779,2.803,1.2456,1.257,1.2481,1.2733
CMP-2026-0103,ISRO-TRAIN-LOT-2026,25,125.0,HEALTHY,0,12.112,12.584,12.886,13.165,2.347,2.37,2.386,2.439,1.2081,1.2131,1.2135,1.2551
CMP-2026-0104,ISRO-TRAIN-LOT-2026,8,125.0,GROSS_OUTLIER,1,57.16,60.552,79.824,103.667,19.093,22.093,27.093,35.093,3.4128,3.6128,4.0128,4.6128
CMP-2026-0105,ISRO-TRAIN-LOT-2026,6,125.0,HEALTHY,0,10.723,10.88,11.16,11.348,2.49,2.495,2.56,2.615,1.1174,1.1176,1.1278,1.1395
CMP-2026-0106,ISRO-TRAIN-LOT-2026,15,125.0,HEALTHY,0,11.086,11.295,11.198,11.377,2.472,2.535,2.564,2.552,1.1867,1.1814,1.2039,1.224
CMP-2026-0107,ISRO-TRAIN-LOT-2026,8,125.0,HEALTHY,0,12.037,12.252,12.497,12.791,2.334,2.44,2.368,2.437,1.1075,1.1074,1.1066,1.1467
CMP-2026-0108,ISRO-TRAIN-LOT-2026,6,125.0,HEALTHY,0,11.318,11.57,11.763,11.414,2.803,2.863,2.895,2.878,1.0832,1.0873,1.0993,1.1077
CMP-2026-0109,ISRO-TRAIN-LOT-2026,5,125.0,HEALTHY,0,11.336,11.701,11.933,12.309,2.187,2.208,2.197,2.311,1.3226,1.3241,1.3309,1.3646
CMP-2026-0110,ISRO-TRAIN-LOT-2026,21,125.0,LATENT_DRIFT,1,12.974,19.024,46.126,86.456,3.083,3.483,5.583,12.083,1.3466,1.4266,1.6766,2.2266
CMP-2026-0111,ISRO-TRAIN-LOT-2026,24,125.0,HEALTHY,0,11.056,11.32,11.833,12.311,2.034,2.127,2.073,2.114,1.2605,1.2572,1.2591,1.3007
CMP-2026-0112,ISRO-TRAIN-LOT-2026,4,125.0,HEALTHY,0,12.026,12.543,12.689,12.708,2.755,2.776,2.794,2.837,1.1888,1.1885,1.1944,1.2198
CMP-2026-0113,ISRO-TRAIN-LOT-2026,16,125.0,HEALTHY,0,10.271,10.399,10.828,10.731,1.751,1.769,1.873,1.887,1.2274,1.2236,1.246,1.2685
CMP-2026-0114,ISRO-TRAIN-LOT-2026,3,125.0,HEALTHY,0,12.239,12.74,12.722,13.101,2.823,2.883,2.949,2.996,1.1594,1.1659,1.1681,1.1759
CMP-2026-0115,ISRO-TRAIN-LOT-2026,4,125.0,HEALTHY,0,12.449,12.8,12.601,12.615,2.135,2.151,2.236,2.297,1.269,1.2761,1.2747,1.3229
CMP-2026-0116,ISRO-TRAIN-LOT-2026,19,125.0,HEALTHY,0,12.569,12.811,13.306,13.74,2.297,2.328,2.378,2.351,1.2275,1.2247,1.2357,1.2741
CMP-2026-0117,ISRO-TRAIN-LOT-2026,14,125.0,HEALTHY,0,9.393,9.584,9.774,9.833,3.087,3.102,3.196,3.184,1.262,1.2617,1.2783,1.2923
CMP-2026-0118,ISRO-TRAIN-LOT-2026,15,125.0,HEALTHY,0,12.188,12.389,12.628,12.642,3.174,3.226,3.257,3.27,1.161,1.1596,1.171,1.1766
CMP-2026-0119,ISRO-TRAIN-LOT-2026,4,125.0,HEALTHY,0,10.142,10.413,10.714,11.354,2.367,2.431,2.468,2.42,1.169,1.1717,1.1619,1.1959
CMP-2026-0120,ISRO-TRAIN-LOT-2026,15,125.0,HEALTHY,0,9.373,9.678,9.887,9.85,2.781,2.813,2.903,2.956,1.1392,1.146,1.1506,1.1598
CMP-2026-0121,ISRO-TRAIN-LOT-2026,6,125.0,HEALTHY,0,9.604,10.079,10.098,10.567,1.639,1.703,1.709,1.71,1.1976,1.1924,1.217,1.226
CMP-2026-0122,ISRO-TRAIN-LOT-2026,23,125.0,HEALTHY,0,11.136,11.228,11.391,11.879,2.919,2.971,2.987,3.078,1.2687,1.2735,1.2638,1.3111
CMP-2026-0123,ISRO-TRAIN-LOT-2026,23,125.0,HEALTHY,0,9.539,9.807,10.099,9.759,2.293,2.306,2.367,2.417,1.3475,1.3496,1.3646,1.3918
CMP-2026-0124,ISRO-TRAIN-LOT-2026,22,125.0,HEALTHY,0,10.684,10.796,11.263,11.643,2.902,2.936,3.042,2.929,1.1877,1.1957,1.1935,1.2186
CMP-2026-0125,ISRO-TRAIN-LOT-2026,22,125.0,HEALTHY,0,10.631,10.926,11.013,11.368,2.356,2.381,2.407,2.478,1.1473,1.1459,1.1384,1.1755
CMP-2026-0126,ISRO-TRAIN-LOT-2026,18,125.0,HEALTHY,0,9.555,9.776,9.995,10.447,2.615,2.658,2.656,2.726,1.0712,1.0712,1.085,1.094
CMP-2026-0127,ISRO-TRAIN-LOT-2026,24,125.0,HEALTHY,0,9.884,10.252,10.646,10.413,2.793,2.857,2.957,2.87,1.2395,1.2379,1.2596,1.2753
CMP-2026-0128,ISRO-TRAIN-LOT-2026,12,125.0,HEALTHY,0,10.49,10.922,11.289,11.063,2.125,2.148,2.26,2.201,1.1828,1.1847,1.1972,1.2151
CMP-2026-0129,ISRO-TRAIN-LOT-2026,5,125.0,HEALTHY,0,10.634,10.999,11.203,11.41,2.156,2.218,2.257,2.328,1.0634,1.0642,1.0776,1.1032
CMP-2026-0130,ISRO-TRAIN-LOT-2026,8,125.0,HEALTHY,0,7.538,7.695,7.882,7.907,2.572,2.615,2.662,2.69,1.2063,1.2123,1.2233,1.252
CMP-2026-0131,ISRO-TRAIN-LOT-2026,21,125.0,HEALTHY,0,9.894,9.893,10.345,10.417,2.419,2.475,2.468,2.461,1.1761,1.1771,1.1846,1.178
CMP-2026-0132,ISRO-TRAIN-LOT-2026,12,125.0,HEALTHY,0,11.986,12.371,12.429,12.379,2.521,2.544,2.599,2.638,1.2728,1.2814,1.2902,1.3143
CMP-2026-0133,ISRO-TRAIN-LOT-2026,6,125.0,HEALTHY,0,9.594,9.926,10.425,10.732,2.459,2.442,2.485,2.554,1.1763,1.1839,1.2061,1.2014
CMP-2026-0134,ISRO-TRAIN-LOT-2026,18,125.0,HEALTHY,0,10.176,10.487,11.055,10.659,2.48,2.527,2.595,2.706,1.1754,1.1662,1.1811,1.2127
CMP-2026-0135,ISRO-TRAIN-LOT-2026,23,125.0,HEALTHY,0,11.029,11.122,11.429,11.482,2.831,2.861,2.932,2.932,1.3102,1.3062,1.3181,1.3255
CMP-2026-0136,ISRO-TRAIN-LOT-2026,19,125.0,GROSS_OUTLIER,1,58.623,61.728,72.987,95.057,26.27,29.27,34.27,42.27,3.0029,3.2029,3.6029,4.2029
CMP-2026-0137,ISRO-TRAIN-LOT-2026,14,125.0,GROSS_OUTLIER,1,79.908,86.596,92.676,108.846,33.928,36.928,41.928,49.928,3.7808,3.9808,4.3808,4.9808
CMP-2026-0138,ISRO-TRAIN-LOT-2026,7,125.0,HEALTHY,0,11.023,11.271,11.895,11.825,2.498,2.48,2.592,2.58,1.1917,1.203,1.2083,1.2218
CMP-2026-0139,ISRO-TRAIN-LOT-2026,4,125.0,HEALTHY,0,9.619,9.886,10.277,10.774,2.582,2.602,2.725,2.719,1.2465,1.2473,1.2663,1.2714
CMP-2026-0140,ISRO-TRAIN-LOT-2026,25,125.0,HEALTHY,0,11.351,11.725,12.073,12.151,2.274,2.327,2.344,2.379,1.1711,1.1678,1.1936,1.1826
CMP-2026-0141,ISRO-TRAIN-LOT-2026,15,125.0,LATENT_DRIFT,1,10.0,16.405,45.092,87.073,2.317,2.717,4.817,11.317,1.2135,1.2935,1.5435,2.0935
CMP-2026-0142,ISRO-TRAIN-LOT-2026,18,125.0,HEALTHY,0,10.103,10.417,10.879,10.781,2.969,2.986,3.026,3.043,1.1631,1.158,1.188,1.1884
CMP-2026-0143,ISRO-TRAIN-LOT-2026,24,125.0,HEALTHY,0,10.565,10.762,11.293,11.216,2.979,2.996,3.059,3.217,1.1094,1.1124,1.1149,1.1203
