Component_ID,Lot_ID,Wafer_ID,Stress_Temp_C,Defect_Type,Ground_Truth_Failure,Iddq_0h,Iddq_24h,Iddq_96h,Iddq_168h,Ileak_0h,Ileak_24h,Ileak_96h,Ileak_168h,PropDelay_0h,PropDelay_24h,PropDelay_96h,PropDelay_168h
CMP-883-0047,ISRO-FLIGHT-QUAL-LOT-883,4,125.0,HEALTHY,0,9.727,10.067,10.43,10.256,2.439,2.484,2.577,2.574,1.089,1.0931,1.1053,1.1181
CMP-883-0048,ISRO-FLIGHT-QUAL-LOT-883,25,125.0,HEALTHY,0,10.316,10.539,11.028,10.951,2.275,2.273,2.37,2.357,1.1338,1.1351,1.1461,1.172
CMP-883-0049,ISRO-FLIGHT-QUAL-LOT-883,24,125.0,HEALTHY,0,8.802,9.255,9.217,9.782,2.669,2.733,2.756,2.851,1.1731,1.1715,1.1767,1.218
CMP-883-0050,ISRO-FLIGHT-QUAL-LOT-883,4,125.0,HEALTHY,0,9.49,9.727,10.066,9.911,2.384,2.412,2.432,2.456,1.3735,1.371,1.3781,1.4057
CMP-883-0051,ISRO-FLIGHT-QUAL-LOT-883,10,125.0,HEALTHY,0,10.789,11.048,11.568,12.01,2.409,2.446,2.532,2.541,1.2132,1.2158,1.2182,1.2379
CMP-883-0052,ISRO-FLIGHT-QUAL-LOT-883,7,125.0,HEALTHY,0,9.454,9.577,9.528,9.487,2.548,2.569,2.595,2.661,1.0745,1.074,1.094,1.1088
CMP-883-0053,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,LATENT_DRIFT,1,9.903,15.785,41.167,77.561,2.149,2.549,4.649,11.149,1.1333,1.2133,1.4633,2.0133
CMP-883-0054,ISRO-FLIGHT-QUAL-LOT-883,14,125.0,HEALTHY,0,11.349,11.527,11.977,12.009,2.899,2.96,2.967,2.987,1.3176,1.3164,1.3185,1.3449
CMP-883-0055,ISRO-FLIGHT-QUAL-LOT-883,6,125.0,HEALTHY,0,9.676,9.771,9.824,10.218,2.414,2.458,2.443,2.462,1.1589,1.1661,1.1713,1.1918
CMP-883-0056,ISRO-FLIGHT-QUAL-LOT-883,23,125.0,LATENT_PAT_OUTLIER,1,37.211,38.531,40.82,43.473,9.934,10.734,11.934,13.734,1.6579,1.7079,1.7879,1.9079
CMP-883-0057,ISRO-FLIGHT-QUAL-LOT-883,25,125.0,HEALTHY,0,10.066,10.225,10.62,11.111,3.131,3.148,3.191,3.246,1.2408,1.2427,1.2636,1.2657
CMP-883-0058,ISRO-FLIGHT-QUAL-LOT-883,16,125.0,HEALTHY,0,10.683,10.839,11.068,11.186,2.585,2.574,2.733,2.648,1.119,1.1276,1.1348,1.1554
CMP-883-0059,ISRO-FLIGHT-QUAL-LOT-883,12,125.0,HEALTHY,0,11.358,11.633,11.764,11.813,2.766,2.795,2.813,2.849,1.2294,1.2267,1.2411,1.26
CMP-883-0060,ISRO-FLIGHT-QUAL-LOT-883,12,125.0,HEALTHY,0,11.188,11.525,11.937,12.44,2.602,2.661,2.621,2.695,1.1158,1.1127,1.1298,1.1463
CMP-883-0061,ISRO-FLIGHT-QUAL-LOT-883,13,125.0,HEALTHY,0,10.742,10.735,10.872,10.977,2.508,2.517,2.609,2.481,1.1403,1.142,1.1451,1.1633
CMP-883-0062,ISRO-FLIGHT-QUAL-LOT-883,15,125.0,HEALTHY,0,10.637,10.763,10.996,11.081,2.821,2.844,2.856,2.842,1.0654,1.0574,1.0724,1.0757
CMP-883-0063,ISRO-FLIGHT-QUAL-LOT-883,8,125.0,HEALTHY,0,13.155,13.578,13.883,13.967,2.211,2.236,2.207,2.315,1.2785,1.2817,1.2798,1.3087
CMP-883-0064,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,HEALTHY,0,9.746,9.952,10.696,10.756,2.563,2.616,2.583,2.691,1.1896,1.1978,1.1984,1.2221
CMP-883-0065,ISRO-FLIGHT-QUAL-LOT-883,8,125.0,HEALTHY,0,10.702,10.912,11.299,11.571,2.51,2.557,2.61,2.585,1.0549,1.0568,1.0593,1.0727
CMP-883-0066,ISRO-FLIGHT-QUAL-LOT-883,3,125.0,HEALTHY,0,9.394,9.505,9.762,10.094,2.508,2.566,2.545,2.639,1.2391,1.2408,1.2355,1.2732
CMP-883-0067,ISRO-FLIGHT-QUAL-LOT-883,21,125.0,HEALTHY,0,10.796,10.903,11.466,11.566,2.665,2.752,2.867,2.736,1.395,1.396,1.3942,1.4183
CMP-883-0068,ISRO-FLIGHT-QUAL-LOT-883,5,125.0,HEALTHY,0,10.03,10.403,10.912,10.779,2.493,2.517,2.545,2.526,1.1353,1.1357,1.1465,1.1574
CMP-883-0069,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,HEALTHY,0,9.431,9.66,10.22,10.097,2.017,2.067,2.129,2.113,1.3069,1.3035,1.326,1.3414
CMP-883-0070,ISRO-FLIGHT-QUAL-LOT-883,21,125.0,HEALTHY,0,12.78,12.935,13.214,13.267,2.319,2.332,2.485,2.497,1.3522,1.3603,1.3686,1.3802
CMP-883-0071,ISRO-FLIGHT-QUAL-LOT-883,2,125.0,HEALTHY,0,9.426,9.776,10.245,10.523,2.842,2.879,2.944,2.944,1.1187,1.114,1.1264,1.1497
CMP-883-0072,ISRO-FLIGHT-QUAL-LOT-883,3,125.0,HEALTHY,0,8.478,8.826,9.068,9.426,2.662,2.735,2.686,2.834,1.1288,1.1269,1.1259,1.1599
CMP-883-0073,ISRO-FLIGHT-QUAL-LOT-883,16,125.0,HEALTHY,0,9.502,9.718,9.853,9.981,2.516,2.503,2.574,2.656,1.0939,1.0997,1.0885,1.1141
CMP-883-0074,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,LATENT_DRIFT,1,10.878,16.609,42.719,83.056,3.344,3.744,5.844,12.344,1.1325,1.2125,1.4625,2.0125
CMP-883-0075,ISRO-FLIGHT-QUAL-LOT-883,15,125.0,HEALTHY,0,10.325,10.586,11.156,11.314,2.407,2.355,2.498,2.558,1.2873,1.2936,1.3124,1.3274
CMP-883-0076,ISRO-FLIGHT-QUAL-LOT-883,12,125.0,HEALTHY,0,10.806,11.343,11.757,11.487,3.13,3.164,3.197,3.297,1.1482,1.1537,1.1659,1.1861
CMP-883-0077,ISRO-FLIGHT-QUAL-LOT-883,2,125.0,HEALTHY,0,9.381,9.52,10.174,10.044,2.993,3.041,3.076,3.129,1.1623,1.1675,1.1765,1.2013
CMP-883-0078,ISRO-FLIGHT-QUAL-LOT-883,15,125.0,HEALTHY,0,12.404,12.645,12.709,12.981,1.665,1.728,1.818,1.805,1.2687,1.2679,1.2771,1.2856
CMP-883-0079,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,HEALTHY,0,10.241,10.438,11.132,11.184,2.446,2.474,2.541,2.668,1.1946,1.1888,1.2063,1.213
CMP-883-0080,ISRO-FLIGHT-QUAL-LOT-883,20,125.0,HEALTHY,0,9.508,9.739,10.038,9.908,2.45,2.492,2.558,2.512,1.2112,1.2055,1.2237,1.2278
CMP-883-0081,ISRO-FLIGHT-QUAL-LOT-883,20,125.0,HEALTHY,0,11.435,11.529,12.143,11.83,2.762,2.783,2.838,2.806,1.2566,1.2637,1.271,1.3014
CMP-883-0082,ISRO-FLIGHT-QUAL-LOT-883,17,125.0,HEALTHY,0,11.151,11.399,11.657,11.571,2.305,2.302,2.447,2.474,1.1721,1.1736,1.1855,1.1963
CMP-883-0083,ISRO-FLIGHT-QUAL-LOT-883,21,125.0,HEALTHY,0,11.68,12.019,12.505,12.956,2.419,2.481,2.502,2.456,1.3333,1.3368,1.3361,1.3621
CMP-883-0084,ISRO-FLIGHT-QUAL-LOT-883,4,125.0,HEALTHY,0,10.589,11.067,11.291,11.318,2.594,2.66,2.597,2.715,1.1264,1.1327,1.1399,1.1601
CMP-883-0085,ISRO-FLIGHT-QUAL-LOT-883,20,125.0,HEALTHY,0,10.412,10.691,11.157,11.503,3.297,3.313,3.358,3.362,1.2452,1.2392,1.2542,1.2714
CMP-883-0086,ISRO-FLIGHT-QUAL-LOT-883,3,125.0,HEALTHY,0,11.429,11.485,11.754,11.936,2.421,2.439,2.465,2.51,1.2845,1.284,1.2862,1.3183
CMP-883-0087,ISRO-FLIGHT-QUAL-LOT-883,6,125.0,HEALTHY,0,9.782,10.086,10.107,10.439,1.877,1.891,1.968,1.945,1.2571,1.2582,1.2591,1.301
CMP-883-0088,ISRO-FLIGHT-QUAL-LOT-883,24,125.0,HEALTHY,0,11.978,12.229,12.181,12.649,2.688,2.655,2.745,2.784,1.2891,1.2814,1.2833,1.3183
CMP-883-0089,ISRO-FLIGHT-QUAL-LOT-883,6,125.0,HEALTHY,0,10.01,10.05,10.493,10.748,2.434,2.416,2.534,2.607,1.1699,1.1758,1.1753,1.2095
CMP-883-0090,ISRO-FLIGHT-QUAL-LOT-883,15,125.0,HEALTHY,0,11.033,11.186,11.49,11.432,2.104,2.129,2.196,2.163,1.2905,1.296,1.2929,1.3174
CMP-883-0091,ISRO-FLIGHT-QUAL-LOT-883,8,125.0,HEALTHY,0,10.768,10.992,11.468,12.096,1.97,2.033,2.059,2.082,1.2382,1.2333,1.2577,1.2817
CMP-883-0092,ISRO-FLIGHT-QUAL-LOT-883,13,125.0,LATENT_DRIFT,1,12.456,18.478,45.599,84.821,2.723,3.123,5.223,11.723,1.246,1.326,1.576,2.126
CMP-883-0093,ISRO-FLIGHT-QUAL-LOT-883,24,125.0,HEALTHY,0,11.592,11.947,12.373,12.607,2.921,2.957,2.961,2.991,1.1278,1.1255,1.1459,1.1744
CMP-883-0094,ISRO-FLIGHT-QUAL-LOT-883,17,125.0,HEALTHY,0,10.444,10.572,10.683,11.045,2.571,2.594,2.618,2.655,1.2774,1.271,1.2957,1.3083
CMP-883-0095,ISRO-FLIGHT-QUAL-LOT-883,4,125.0,HEALTHY,0,10.023,10.082,10.402,10.446,2.059,2.099,2.153,2.19,1.2366,1.2336,1.2487,1.2655
CMP-883-0096,ISRO-FLIGHT-QUAL-LOT-883,22,125.0,HEALTHY,0,11.131,11.431,11.648,11.692,2.362,2.375,2.493,2.46,1.1782,1.1806,1.1808,1.1998
CMP-883-0097,ISRO-FLIGHT-QUAL-LOT-883,2,125.0,HEALTHY,0,11.395,11.677,12.112,12.202,2.251,2.249,2.381,2.355,1.2389,1.2392,1.2604,1.2902
CMP-883-0098,ISRO-FLIGHT-QUAL-LOT-883,6,125.0,HEALTHY,0,12.234,12.476,12.833,12.757,1.99,2.041,2.031,2.117,1.1892,1.1884,1.2023,1.2284
CMP-883-0099,ISRO-FLIGHT-QUAL-LOT-883,18,125.0,HEALTHY,0,11.149,11.221,11.866,11.816,2.542,2.564,2.644,2.563,1.1484,1.1598,1.1574,1.1909
CMP-883-0100,ISRO-FLIGHT-QUAL-LOT-883,3,125.0,HEALTHY,0,10.821,10.995,11.051,11.091,2.866,2.958,2.998,3.086,1.2715,1.2732,1.29,1.2864
CMP-883-0101,ISRO-FLIGHT-QUAL-LOT-883,14,125.0,HEALTHY,0,10.328,10.487,10.715,10.779,2.435,2.441,2.5,2.621,1.2051,1.2038,1.2204,1.2459
CMP-883-0102,ISRO-FLIGHT-QUAL-LOT-883,23,125.0,HEALTHY,0,11.386,11.484,12.223,12.446,2.71,2.738,2.824,2.847,1.3601,1.3649,1.3788,1.4066
CMP-883-0103,ISRO-FLIGHT-QUAL-LOT-883,18,125.0,HEALTHY,0,9.746,10.106,10.185,10.653,2.251,2.237,2.267,2.355,1.2615,1.2607,1.2694,1.2943
CMP-883-0104,ISRO-FLIGHT-QUAL-LOT-883,22,125.0,HEALTHY,0,12.224,12.599,12.742,12.518,2.681,2.69,2.725,2.766,1.3163,1.3148,1.326,1.3496
CMP-883-0105,ISRO-FLIGHT-QUAL-LOT-883,4,125.0,HEALTHY,0,10.593,10.828,11.507,11.587,2.291,2.358,2.35,2.364,1.309,1.3055,1.3133,1.345
CMP-883-0106,ISRO-FLIGHT-QUAL-LOT-883,20,125.0,HEALTHY,0,12.242,12.432,12.862,13.168,2.323,2.37,2.471,2.437,1.1879,1.1941,1.2101,1.217
CMP-883-0107,ISRO-FLIGHT-QUAL-LOT-883,9,125.0,HEALTHY,0,11.265,11.336,11.576,11.738,2.458,2.512,2.552,2.56,1.264,1.2697,1.2841,1.2843
CMP-883-0108,ISRO-FLIGHT-QUAL-LOT-883,4,125.0,HEALTHY,0,8.65,8.842,9.185,9.345,3.005,3.102,3.058,2.982,1.2069,1.2057,1.2099,1.2396
CMP-883-0109,ISRO-FLIGHT-QUAL-LOT-883,2,125.0,HEALTHY,0,9.27,9.625,9.844,10.616,2.024,2.089,2.09,2.176,1.2351,1.2259,1.2518,1.2676
CMP-883-0110,ISRO-FLIGHT-QUAL-LOT-883,15,125.0,HEALTHY,0,9.782,10.131,10.509,10.291,2.351,2.43,2.452,2.435,1.2237,1.2294,1.2336,1.2544
CMP-883-0111,ISRO-FLIGHT-QUAL-LOT-883,5,125.0,HEALTHY,0,9.208,9.604,9.962,10.037,2.421,2.486,2.465,2.527,1.2909,1.2882,1.3055,1.3215
CMP-883-0112,ISRO-FLIGHT-QUAL-LOT-883,7,125.0,HEALTHY,0,10.138,10.252,10.637,10.788,2.811,2.837,2.862,2.981,1.3381,1.3414,1.3512,1.371
CMP-883-0113,ISRO-FLIGHT-QUAL-LOT-883,23,125.0,HEALTHY,0,10.683,10.979,11.433,11.662,2.113,2.143,2.205,2.155,1.2675,1.2759,1.272,1.2886
CMP-883-0114,ISRO-FLIGHT-QUAL-LOT-883,3,125.0,HEALTHY,0,10.043,10.232,10.495,10.913,2.496,2.538,2.519,2.636,1.3029,1.2952,1.3292,1.3431
CMP-883-0115,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,HEALTHY,0,9.666,9.925,10.137,10.259,2.755,2.812,2.806,2.852,1.1059,1.1101,1.1277,1.1301
CMP-883-0116,ISRO-FLIGHT-QUAL-LOT-883,23,125.0,LATENT_DRIFT,1,12.464,20.282,57.233,109.425,2.572,2.972,5.072,11.572,1.18,1.26,1.51,2.06
CMP-883-0117,ISRO-FLIGHT-QUAL-LOT-883,23,125.0,HEALTHY,0,11.704,12.059,11.911,12.004,2.637,2.669,2.719,2.758,1.1593,1.1628,1.1659,1.172
CMP-883-0118,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,LATENT_DRIFT,1,10.858,18.406,53.467,102.474,2.421,2.821,4.921,11.421,1.2546,1.3346,1.5846,2.1346
CMP-883-0119,ISRO-FLIGHT-QUAL-LOT-883,13,125.0,HEALTHY,0,9.585,9.943,10.229,9.951,2.507,2.554,2.556,2.6,1.256,1.2664,1.2685,1.2977
CMP-883-0120,ISRO-FLIGHT-QUAL-LOT-883,9,125.0,HEALTHY,0,10.592,10.908,11.052,11.292,1.911,1.917,2.059,2.071,1.1584,1.1612,1.1674,1.1707
CMP-883-0121,ISRO-FLIGHT-QUAL-LOT-883,17,125.0,HEALTHY,0,11.185,11.273,11.649,12.08,2.303,2.341,2.341,2.429,1.0873,1.088,1.0952,1.1264
CMP-883-0122,ISRO-FLIGHT-QUAL-LOT-883,23,125.0,HEALTHY,0,13.625,13.868,14.198,14.381,2.361,2.332,2.489,2.374,1.1194,1.1244,1.1502,1.1454
CMP-883-0123,ISRO-FLIGHT-QUAL-LOT-883,12,125.0,HEALTHY,0,10.698,10.959,11.224,11.482,2.17,2.185,2.228,2.204,0.9804,0.9768,0.9913,1.023
CMP-883-0124,ISRO-FLIGHT-QUAL-LOT-883,2,125.0,HEALTHY,0,10.087,10.224,10.471,10.43,2.075,2.149,2.176,2.184,1.1578,1.1487,1.1676,1.2022
CMP-883-0125,ISRO-FLIGHT-QUAL-LOT-883,5,125.0,HEALTHY,0,9.073,9.298,9.529,9.77,2.615,2.657,2.638,2.755,1.0478,1.0529,1.0755,1.0711
CMP-883-0126,ISRO-FLIGHT-QUAL-LOT-883,11,125.0,HEALTHY,0,9.842,10.218,10.609,10.526,2.132,2.196,2.242,2.247,1.1949,1.1906,1.2184,1.2239
CMP-883-0127,ISRO-FLIGHT-QUAL-LOT-883,18,125.0,HEALTHY,0,9.616,9.781,10.08,10.226,2.714,2.68,2.818,2.835,1.0976,1.0986,1.115,1.1185
CMP-883-0128,ISRO-FLIGHT-QUAL-LOT-883,22,125.0,HEALTHY,0,9.823,10.122,10.354,10.616,2.375,2.407,2.443,2.464,1.2141,1.2195,1.2214,1.236
CMP-883-0129,ISRO-FLIGHT-QUAL-LOT-883,21,125.0,HEALTHY,0,13.15,13.241,13.571,13.988,2.454,2.451,2.543,2.489,1.3319,1.3338,1.3349,1.3733
CMP-883-0130,ISRO-FLIGHT-QUAL-LOT-883,7,125.0,HEALTHY,0,11.816,11.835,12.182,12.385,2.847,2.83,2.94,3.009,1.1924,1.1953,1.1917,1.231
CMP-883-0131,ISRO-FLIGHT-QUAL-LOT-883,22,125.0,LATENT_DRIFT,1,13.536,20.298,50.264,93.906,2.377,2.777,4.877,11.377,1.2075,1.2875,1.5375,2.0875
CMP-883-0132,ISRO-FLIGHT-QUAL-LOT-883,20,125.0,HEALTHY,0,9.272,9.725,9.745,10.324,2.658,2.688,2.737,2.803,1.277,1.2734,1.2951,1.3112
CMP-883-0133,ISRO-FLIGHT-QUAL-LOT-883,11,125.0,HEALTHY,0,9.888,10.248,10.319,10.257,2.564,2.525,2.705,2.713,1.1874,1.1881,1.2006,1.2127
CMP-883-0134,ISRO-FLIGHT-QUAL-LOT-883,10,125.0,HEALTHY,0,10.796,11.161,11.405,11.383,3.081,3.129,3.224,3.252,1.2606,1.2613,1.2866,1.2874
CMP-883-0135,ISRO-FLIGHT-QUAL-LOT-883,24,125.0,HEALTHY,0,12.771,12.927,13.206,13.137,2.273,2.306,2.356,2.413,1.2076,1.2103,1.2137,1.2453
CMP-883-0136,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,HEALTHY,0,9.732,9.87,10.119,10.747,2.248,2.292,2.387,2.282,1.1595,1.1699,1.1827,1.1945
CMP-883-0137,ISRO-FLIGHT-QUAL-LOT-883,8,125.0,HEALTHY,0,10.7,10.611,11.122,11.091,2.534,2.632,2.555,2.648,1.2742,1.2758,1.2811,1.321
CMP-883-0138,ISRO-FLIGHT-QUAL-LOT-883,1,125.0,HEALTHY,0,10.611,10.922,11.39,11.448,2.722,2.771,2.827,2.851,1.185,1.1843,1.1873,1.2069
